year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,11,7,656,615,41,802,761,58,HA,4746,N285FE,LGA,DFW,106,972,6,15,2013-11-07 06:00:00
2013,9,9,655,615,40,1191,1151,25,YV,2318,N214HA,LGA,PBI,336,2816,6,15,2013-09-09 06:00:00
2013,7,26,1784,1745,39,2431,2392,32,F9,6665,N670HC,EWR,SJU,407,3241,17,45,2013-07-26 17:00:00
2013,1,4,1195,1145,50,1444,1394,58,9E,6872,N929BC,JFK,IAD,169,1566,11,45,2013-01-04 11:00:00
2013,7,21,1755,1730,25,1910,1885,14,YV,2200,N138GA,EWR,ORD,115,898,17,30,2013-07-21 17:00:00
2013,6,5,1236,1230,6,1879,1873,-5,EV,1548,N759BF,JFK,BWI,403,3187,12,30,2013-06-05 12:00:00
2013,10,19,1946,1900,46,2303,2257,65,AS,308,N420GB,LGA,DTW,237,1990,19,0,2013-10-19 19:00:00
2013,6,3,729,715,14,948,934,35,HA,8195,N291BF,EWR,MIA,139,1260,7,15,2013-06-03 07:00:00
2013,2,5,1233,1215,18,1572,1554,30,VX,3491,N716CB,EWR,BQN,219,1644,12,15,2013-02-05 12:00:00
2013,8,4,922,830,92,1143,1051,121,MQ,7700,N230CC,JFK,SEA,141,1079,8,30,2013-08-04 08:00:00
2013,8,24,1311,1330,-19,1822,1841,-29,VX,2009,N330DF,LGA,PHX,311,2897,13,30,2013-08-24 13:00:00
2013,7,13,2181,2130,51,2592,2541,78,FL,9834,N911EE,LGA,SFO,251,2235,21,30,2013-07-13 21:00:00
2013,4,18,500,500,0,1055,1055,22,OO,5067,N808CE,JFK,CLT,355,2701,5,0,2013-04-18 05:00:00
2013,8,7,2170,2130,40,2829,2789,60,UA,8380,N343GE,LGA,FLL,419,3241,21,30,2013-08-07 21:00:00
2013,1,6,1810,1845,-35,2165,2200,-24,EV,1027,N837EE,JFK,CLE,235,1931,18,45,2013-01-06 18:00:00
2013,3,24,1064,1015,49,1415,1366,39,DL,5148,N608CE,JFK,MDW,231,1735,10,15,2013-03-24 10:00:00
2013,9,5,1030,1030,0,1144,1144,21,B6,6720,N677HB,EWR,SNA,74,561,10,30,2013-09-05 10:00:00
2013,10,17,2004,2030,-26,2655,2681,-33,B6,4654,N175CF,EWR,DTW,411,3296,20,30,2013-10-17 20:00:00
2013,9,17,2238,2245,-7,2588,2595,-19,US,4088,N273FF,LGA,BOS,230,2112,22,45,2013-09-17 22:00:00
2013,6,26,1928,1900,28,2074,2046,51,DL,9227,N377DB,EWR,CLE,106,872,19,0,2013-06-26 19:00:00
2013,2,11,2300,2245,55,2923,2868,51,MQ,6334,N640DB,EWR,PHX,383,3522,22,45,2013-02-11 22:00:00
2013,10,26,2195,2200,-5,2725,2730,10,YV,1136,N920FC,EWR,TPA,330,2795,22,0,2013-10-26 22:00:00
2013,5,12,764,715,49,1407,1358,47,HA,1900,N198DB,EWR,DTW,403,3599,7,15,2013-05-12 07:00:00
2013,8,28,1498,1615,-117,2009,2126,-101,HA,2708,N779HF,JFK,STL,311,2836,16,15,2013-08-28 16:00:00
2013,4,21,1958,1915,43,2198,2155,41,US,4072,N270AD,EWR,MSP,160,1474,19,15,2013-04-21 19:00:00
2013,10,26,982,1000,-18,1628,1646,-29,VX,6243,N498AC,EWR,PHX,406,3588,10,0,2013-10-26 10:00:00
2013,4,15,648,600,48,952,904,39,DL,3100,N122FE,JFK,PHX,184,1463,6,0,2013-04-15 06:00:00
2013,7,11,1633,1615,18,1872,1854,22,AA,6782,N166CD,LGA,PHL,159,1292,16,15,2013-07-11 16:00:00
2013,8,17,2030,2000,30,2680,2650,34,B6,6698,N706FA,LGA,MSP,410,3243,20,0,2013-08-17 20:00:00
2013,9,3,940,1000,-60,1142,1202,-58,B6,137,N518AE,LGA,BWI,122,972,10,0,2013-09-03 10:00:00
2013,12,25,1893,1930,-37,2311,2348,-51,DL,5740,N456EA,LGA,IAD,258,1939,19,30,2013-12-25 19:00:00
2013,1,23,1835,1830,5,2252,2247,-9,OO,7618,N803HF,JFK,MIA,257,2354,18,30,2013-01-23 18:00:00
2013,11,12,1297,1315,-18,1632,1650,-10,9E,1996,N499HF,JFK,MSY,215,1960,13,15,2013-11-12 13:00:00
2013,11,11,1233,1200,33,1335,1302,27,UA,2417,N598EB,JFK,SFO,62,489,12,0,2013-11-11 12:00:00
2013,11,2,527,530,-3,1067,1070,-2,OO,2199,N636GA,LGA,CVG,340,2899,5,30,2013-11-02 05:00:00
2013,1,20,1461,1415,46,1685,1639,55,VX,2703,N407BF,LGA,FLL,144,1329,14,15,2013-01-20 14:00:00
2013,3,21,1958,1930,28,2301,2273,54,YV,2754,N317CD,JFK,PHL,223,1674,19,30,2013-03-21 19:00:00
2013,4,23,1851,1830,21,2405,2384,42,F9,9741,N385CD,JFK,DTW,354,2843,18,30,2013-04-23 18:00:00
2013,2,14,1530,1530,0,1679,1679,17,UA,7059,N663HB,JFK,SNA,109,934,15,30,2013-02-14 15:00:00
2013,11,8,1020,945,75,1674,1599,66,UA,3491,N713DF,JFK,DFW,414,3190,9,45,2013-11-08 09:00:00
2013,3,15,1201,1100,101,1411,1310,118,YV,1170,N595HF,JFK,OAK,130,1145,11,0,2013-03-15 11:00:00
2013,2,5,764,745,19,1094,1075,44,AA,3645,N325HD,LGA,PBI,210,1746,7,45,2013-02-05 07:00:00
2013,5,20,1187,1130,57,1330,1273,45,EV,3103,N528FC,LGA,HNL,103,859,11,30,2013-05-20 11:00:00
2013,10,27,1276,1315,-39,1494,1533,-47,DL,8457,N471BE,JFK,DTW,138,1145,13,15,2013-10-27 13:00:00
2013,6,3,746,730,16,1098,1082,35,OO,879,N906DE,JFK,ATL,232,1866,7,30,2013-06-03 07:00:00
2013,10,19,1749,1715,34,2252,2218,21,B6,4538,N514CB,JFK,MCO,303,2749,17,15,2013-10-19 17:00:00
2013,7,17,1960,1900,60,2093,2033,85,UA,2495,N692DB,JFK,DEN,93,847,19,0,2013-07-17 19:00:00
2013,7,20,1182,1200,-18,1309,1327,-31,WN,7050,N879DD,LGA,SFO,87,771,12,0,2013-07-20 12:00:00
2013,5,5,1457,1445,12,1997,1985,30,DL,7486,N274CE,LGA,PHL,340,2724,14,45,2013-05-05 14:00:00
2013,2,12,1142,1115,27,1272,1245,40,DL,1855,N408FC,LGA,OAK,90,804,11,15,2013-02-12 11:00:00
2013,11,20,1248,1245,3,1574,1571,-1,WN,3716,N614FD,EWR,FLL,206,1807,12,45,2013-11-20 12:00:00
2013,4,2,669,615,54,792,738,40,AS,469,N993HB,LGA,BOS,83,737,6,15,2013-04-02 06:00:00
2013,4,23,1216,1245,-29,1372,1401,-35,YV,3464,N538BB,EWR,BOS,116,984,12,45,2013-04-23 12:00:00
2013,12,24,597,630,-33,802,835,-34,WN,2166,N341EE,EWR,OAK,125,969,6,30,2013-12-24 06:00:00
2013,6,15,1823,1800,23,2472,2449,16,HA,2482,N136DE,LGA,LAX,409,3361,18,0,2013-06-15 18:00:00
2013,4,3,1606,1600,6,1756,1750,19,EV,669,N674GA,EWR,PBI,110,879,16,0,2013-04-03 16:00:00
2013,6,14,603,630,-27,1156,1183,-5,WN,5091,N930CE,JFK,SFO,353,3226,6,30,2013-06-14 06:00:00
2013,7,23,1092,1100,-8,1245,1253,0,VX,6699,N719AD,LGA,MDW,113,1047,11,0,2013-07-23 11:00:00
2013,8,18,561,600,-39,691,730,-47,B6,1807,N112HD,JFK,MSY,90,724,6,0,2013-08-18 06:00:00
2013,4,11,1220,1200,20,1629,1609,10,MQ,7934,N644HC,LGA,HNL,249,2007,12,0,2013-04-11 12:00:00
2013,4,19,1374,1315,59,1699,1640,79,VX,5687,N141AB,LGA,SFO,205,1763,13,15,2013-04-19 13:00:00
2013,4,26,1545,1530,15,2193,2178,31,UA,3633,N611DC,JFK,DFW,408,3445,15,30,2013-04-26 15:00:00
2013,9,18,1101,1030,71,1526,1455,62,AA,5274,N808EE,LGA,MSY,265,2195,10,30,2013-09-18 10:00:00
2013,7,14,711,715,-4,1350,1354,14,9E,2086,N702FD,JFK,LAX,399,3264,7,15,2013-07-14 07:00:00
2013,12,21,2157,2130,27,2594,2567,57,OO,2355,N772BB,EWR,STL,277,2459,21,30,2013-12-21 21:00:00
2013,2,27,573,515,58,1024,966,77,UA,9282,N180CC,JFK,MCO,291,2662,5,15,2013-02-27 05:00:00
2013,3,14,1646,1600,46,1975,1929,43,US,1070,N225FA,JFK,BOS,209,1842,16,0,2013-03-14 16:00:00
2013,6,3,1114,1145,-31,1265,1296,-18,DL,3639,N783AC,JFK,ORD,111,909,11,45,2013-06-03 11:00:00
2013,4,1,976,900,76,1496,1420,93,OO,753,N744CE,LGA,CLT,320,2570,9,0,2013-04-01 09:00:00
2013,4,18,667,645,22,1294,1272,51,US,2401,N201BA,EWR,MCO,387,3146,6,45,2013-04-18 06:00:00
2013,12,8,1484,1445,39,1902,1863,32,DL,9601,N200ED,JFK,MDW,258,2322,14,45,2013-12-08 14:00:00
2013,4,7,1981,1915,66,2506,2440,82,UA,8388,N920BF,JFK,HNL,325,2857,19,15,2013-04-07 19:00:00
2013,10,14,500,515,-15,925,940,-21,DL,7617,N903DE,LGA,SNA,265,2242,5,15,2013-10-14 05:00:00
2013,9,16,2096,2115,-19,2719,2738,-11,VX,2165,N873AD,JFK,STL,383,3362,21,15,2013-09-16 21:00:00
2013,11,19,1825,1900,-75,2241,2316,-56,AA,2802,N738AD,EWR,MCO,256,1978,19,0,2013-11-19 19:00:00
2013,2,6,1506,1515,-9,1856,1865,-6,MQ,8569,N926HE,EWR,DFW,230,2098,15,15,2013-02-06 15:00:00
2013,10,21,955,915,40,1187,1147,35,F9,4372,N470BF,JFK,MIA,152,1279,9,15,2013-10-21 09:00:00
2013,12,9,1487,1445,42,1628,1586,41,F9,6335,N625BF,JFK,CVG,101,845,14,45,2013-12-09 14:00:00
2013,8,25,1949,1915,34,2463,2429,44,OO,3476,N437GA,LGA,FLL,314,2895,19,15,2013-08-25 19:00:00
2013,3,7,1224,1200,24,1269,1245,48,EV,648,N100HF,LGA,MIA,45,388,12,0,2013-03-07 12:00:00
2013,1,26,1724,1700,24,2259,2235,53,AA,8904,N440FD,JFK,MCO,335,2943,17,0,2013-01-26 17:00:00
2013,11,21,1456,1445,11,2084,2073,33,AS,4299,N287CE,EWR,STL,388,3338,14,45,2013-11-21 14:00:00
2013,5,25,618,530,88,1220,1132,88,YV,4735,N698AF,LGA,CVG,362,2732,5,30,2013-05-25 05:00:00
2013,4,25,1054,1030,24,1563,1539,35,DL,1503,N767DC,LGA,MIA,309,2681,10,30,2013-04-25 10:00:00
2013,8,12,603,645,-42,1206,1248,-49,9E,160,N714GD,JFK,ATL,363,3168,6,45,2013-08-12 06:00:00
2013,4,26,1749,1730,19,2183,2164,40,HA,3343,N963EB,JFK,PBI,274,2312,17,30,2013-04-26 17:00:00
2013,2,18,1939,1915,24,1986,1962,54,UA,6866,N640AC,JFK,SJU,47,440,19,15,2013-02-18 19:00:00
2013,5,21,1469,1415,54,2117,2063,55,US,581,N833CA,JFK,DTW,408,3463,14,15,2013-05-21 14:00:00
2013,9,10,1771,1700,71,2126,2055,88,US,5682,N636HE,JFK,CLT,235,2183,17,0,2013-09-10 17:00:00
2013,2,10,1542,1500,42,1743,1701,57,F9,8103,N133FD,JFK,ATL,121,975,15,0,2013-02-10 15:00:00
2013,4,22,1719,1645,74,2060,1986,62,VX,987,N258HD,JFK,DFW,221,1660,16,45,2013-04-22 16:00:00
2013,7,19,1916,1915,1,1965,1964,23,US,7402,N165BA,EWR,ATL,49,415,19,15,2013-07-19 19:00:00
2013,6,11,1802,1815,-13,2305,2318,-27,OO,5224,N891GB,LGA,MCO,303,2311,18,15,2013-06-11 18:00:00
2013,6,27,1728,1700,28,1861,1833,16,9E,6777,N722CD,JFK,MKE,93,803,17,0,2013-06-27 17:00:00
2013,10,8,1688,1700,-12,2110,2122,0,F9,3871,N722CE,EWR,RDU,262,2474,17,0,2013-10-08 17:00:00
2013,5,21,1229,1145,84,1383,1299,106,VX,7926,N416FD,JFK,CVG,114,1012,11,45,2013-05-21 11:00:00
2013,4,7,1362,1430,-68,1694,1762,-83,YV,1755,N966GD,LGA,ATL,212,1737,14,30,2013-04-07 14:00:00
2013,4,6,1796,1815,-19,2139,2158,-8,DL,2540,N652EA,EWR,CLE,223,1854,18,15,2013-04-06 18:00:00
2013,7,25,1486,1500,-14,2031,2045,3,AA,6732,N653BA,EWR,ORD,345,2798,15,0,2013-07-25 15:00:00
2013,2,1,1977,2015,-38,2304,2342,-21,WN,6409,N449BE,JFK,ATL,207,1725,20,15,2013-02-01 20:00:00
2013,2,16,1900,2015,-115,2341,2456,-106,MQ,3457,N685CE,LGA,SFO,281,2163,20,15,2013-02-16 20:00:00
2013,5,18,1029,1045,-16,1682,1698,-16,9E,3054,N932EF,LGA,ORD,413,3392,10,45,2013-05-18 10:00:00
2013,11,18,1951,1945,6,2264,2258,5,9E,3177,N358CF,LGA,SJU,193,1603,19,45,2013-11-18 19:00:00
2013,12,23,1944,1915,29,2378,2349,31,US,4790,N303HA,JFK,MCO,274,2399,19,15,2013-12-23 19:00:00
2013,11,25,1682,1700,-18,2006,2024,12,F9,5106,N392DE,JFK,HNL,204,1573,17,0,2013-11-25 17:00:00
2013,6,11,579,645,-66,1209,1275,-69,MQ,4588,N782EE,JFK,TPA,390,3421,6,45,2013-06-11 06:00:00
2013,10,21,2052,2100,-48,2396,2444,-38,WN,1420,N593BF,EWR,CLE,224,1924,21,0,2013-10-21 21:00:00
2013,7,11,1652,1645,7,1779,1772,9,MQ,7550,N349HF,EWR,DFW,87,766,16,45,2013-07-11 16:00:00
2013,3,6,752,845,-93,910,1003,-71,AS,2485,N855AE,JFK,TPA,118,1014,8,45,2013-03-06 08:00:00
2013,11,27,507,515,-8,553,561,4,AS,9392,N473FA,EWR,OAK,46,389,5,15,2013-11-27 05:00:00
2013,1,14,1111,1115,-4,1269,1273,24,YV,9677,N859GD,LGA,MCO,118,1114,11,15,2013-01-14 11:00:00
2013,4,19,1360,1345,15,1810,1795,13,9E,2184,N445AB,LGA,MKE,290,2474,13,45,2013-04-19 13:00:00
2013,6,5,1747,1700,47,1978,1931,35,OO,2777,N202GC,JFK,SFO,151,1231,17,0,2013-06-05 17:00:00
2013,4,15,2057,2145,-88,2212,2300,-97,YV,4217,N558CC,LGA,BWI,115,1020,21,45,2013-04-15 21:00:00
2013,12,18,2028,2030,-2,2534,2536,25,B6,1740,N848AF,EWR,HNL,306,2733,20,30,2013-12-18 20:00:00
2013,10,16,692,700,-8,803,811,-9,B6,3369,N465AE,LGA,DEN,71,582,7,0,2013-10-16 07:00:00
2013,10,27,1144,1145,-1,1793,1794,-13,MQ,4909,N680AF,JFK,CVG,409,3521,11,45,2013-10-27 11:00:00
2013,2,9,1035,1100,-65,1577,1642,-80,MQ,6554,N509CC,EWR,OAK,342,2983,11,0,2013-02-09 11:00:00
2013,10,11,1045,1000,45,1650,1605,46,DL,5442,N912GE,JFK,CLE,365,3056,10,0,2013-10-11 10:00:00
2013,3,18,1044,1000,44,1293,1249,57,MQ,286,N661CF,JFK,OAK,169,1566,10,0,2013-03-18 10:00:00
2013,4,18,729,630,99,1057,958,126,EV,113,N175BF,JFK,MSP,208,1957,6,30,2013-04-18 06:00:00
2013,9,11,1293,1315,-22,1421,1443,-30,UA,2701,N375FB,EWR,PHL,88,720,13,15,2013-09-11 13:00:00
2013,4,3,2056,2030,26,2612,2586,42,F9,2417,N787AF,EWR,IAD,356,3312,20,30,2013-04-03 20:00:00
2013,3,28,1746,1730,16,2304,2288,39,AA,2430,N421DB,LGA,SNA,358,2880,17,30,2013-03-28 17:00:00
2013,4,8,753,730,23,992,969,47,UA,4474,N223FA,LGA,MSP,159,1289,7,30,2013-04-08 07:00:00
2013,5,2,1126,1145,-19,1226,1245,-25,EV,4303,N724CD,EWR,RDU,60,487,11,45,2013-05-02 11:00:00
2013,5,8,2246,2215,31,2889,2858,32,FL,4909,N871DC,LGA,MCO,403,3239,22,15,2013-05-08 22:00:00
2013,7,24,2082,2030,52,2640,2588,49,UA,3463,N753FF,JFK,CLE,358,3000,20,30,2013-07-24 20:00:00
2013,6,10,1396,1400,-4,2019,2023,-7,F9,737,N175CE,JFK,MKE,383,3574,14,0,2013-06-10 14:00:00
2013,3,9,444,500,-56,802,858,-67,WN,7161,N748DD,LGA,ORD,238,2033,5,0,2013-03-09 05:00:00
2013,4,27,1371,1415,-44,1622,1666,-58,AS,8231,N963HF,LGA,LAX,171,1365,14,15,2013-04-27 14:00:00
2013,8,13,1022,1015,7,1263,1256,34,B6,2608,N618FD,JFK,MIA,161,1354,10,15,2013-08-13 10:00:00
2013,6,22,851,830,21,1098,1077,8,B6,3557,N334BC,EWR,OAK,167,1417,8,30,2013-06-22 08:00:00
2013,9,6,530,530,0,849,849,4,FL,9555,N765HD,EWR,DEN,199,1852,5,30,2013-09-06 05:00:00
2013,10,13,2115,2130,-15,2368,2383,-9,AS,6526,N252GF,JFK,DFW,173,1404,21,30,2013-10-13 21:00:00
2013,1,18,1830,1815,15,2453,2438,2,AS,8785,N503CF,LGA,CLT,383,2963,18,15,2013-01-18 18:00:00
2013,6,20,1325,1300,25,1568,1543,29,VX,4462,N866HC,LGA,DTW,163,1291,13,0,2013-06-20 13:00:00
2013,5,17,1798,1730,68,1854,1786,60,YV,431,N605EC,EWR,MDW,56,467,17,30,2013-05-17 17:00:00
2013,8,5,1345,1345,0,1556,1556,17,VX,5731,N617GC,LGA,BOS,131,1214,13,45,2013-08-05 13:00:00
2013,8,23,971,900,71,1376,1305,84,HA,5344,N866GA,JFK,BOS,245,2250,9,0,2013-08-23 09:00:00
2013,10,25,2270,2245,25,2587,2562,26,B6,6561,N392GB,EWR,DFW,197,1714,22,45,2013-10-25 22:00:00
2013,10,17,1862,1845,17,2012,1995,39,YV,9611,N794HD,EWR,STL,110,987,18,45,2013-10-17 18:00:00
2013,8,4,836,845,-9,1090,1099,15,F9,7902,N998DA,LGA,CLE,174,1621,8,45,2013-08-04 08:00:00
2013,8,7,2245,2245,0,2865,2865,17,UA,9429,N611HF,EWR,STL,380,3145,22,45,2013-08-07 22:00:00
2013,3,13,1998,1930,68,2237,2169,84,F9,7758,N679EF,JFK,TPA,159,1236,19,30,2013-03-13 19:00:00
2013,2,8,1697,1630,67,2311,2244,95,VX,1679,N783GE,LGA,ATL,374,3322,16,30,2013-02-08 16:00:00
2013,6,24,613,600,13,1270,1257,43,AS,5050,N313EB,JFK,SJU,417,3515,6,0,2013-06-24 06:00:00
2013,12,21,973,945,28,1501,1473,47,MQ,9184,N150AE,JFK,MSP,328,2618,9,45,2013-12-21 09:00:00
2013,8,25,1805,1745,60,2440,2380,46,DL,2336,N768BF,JFK,BOS,395,3478,17,45,2013-08-25 17:00:00
2013,8,17,1320,1345,-25,1523,1548,-4,HA,8048,N893HB,LGA,OAK,123,1091,13,45,2013-08-17 13:00:00
2013,8,10,1196,1200,-4,1639,1643,17,US,1856,N782BD,JFK,ORD,283,2490,12,0,2013-08-10 12:00:00
2013,7,19,522,530,-8,627,635,4,FL,5424,N871CC,JFK,PBI,65,503,5,30,2013-07-19 05:00:00
2013,2,20,773,730,43,1085,1042,55,VX,9151,N489FA,LGA,BOS,192,1619,7,30,2013-02-20 07:00:00
2013,11,28,1518,1545,-27,1925,1952,-21,MQ,9654,N217DA,JFK,DTW,247,1905,15,45,2013-11-28 15:00:00
2013,8,20,1289,1345,-56,1615,1671,-53,YV,7996,N201HA,LGA,ATL,206,1635,13,45,2013-08-20 13:00:00
2013,8,15,879,815,64,1025,961,64,WN,8320,N514HE,JFK,MSY,106,862,8,15,2013-08-15 08:00:00
2013,6,17,1670,1630,40,2129,2089,30,AA,8181,N224AD,LGA,MDW,299,2386,16,30,2013-06-17 16:00:00
